session_id,genderidentity,raceomb_002,D_biep.White_Good_all,Mn_RT_all_3467,edu,politicalid_7,STATE,att_7,tblacks_0to10,twhites_0to10,labels
2631939320.0,[1],6.0,1.181902732,1175.916667,9.0,5.0,,5.0,3.0,4.0,1.0
2631939354.0,[2],6.0,0.278855687,1004.741667,12.0,1.0,MI,,5.0,5.0,1.0
2631939361.0,[2],6.0,0.906936902,750.225,8.0,6.0,WA,4.0,8.0,7.0,2.0
2631939490.0,[2],4.0,-0.44603095,1360.316667,7.0,6.0,,4.0,5.0,5.0,1.0
2631939506.0,[1],6.0,-0.42548042,744.5083333,7.0,5.0,,4.0,,,1.0
2631939548.0,[2],6.0,0.41558640799999996,755.925,11.0,7.0,CA,4.0,9.0,9.0,2.0
2631939569.0,[1],5.0,0.159957391,788.2083332999997,4.0,6.0,,3.0,8.0,7.0,1.0
2631939636.0,[2],6.0,-0.373317612,1495.425,7.0,6.0,,3.0,6.0,5.0,1.0
2631939755.0,[1],6.0,0.84397742,918.475,9.0,5.0,,,8.0,8.0,2.0
2631939868.0,[1],5.0,-0.18423737399999998,1095.608333,5.0,4.0,NJ,3.0,10.0,8.0,2.0
2631939882.0,[1],,0.16103174,1272.016667,11.0,6.0,TX,3.0,9.0,5.0,2.0
2631939971.0,[1],6.0,0.734953985,886.4666667000001,9.0,6.0,,,,,2.0
2631940001.0,[2],5.0,-0.24036536600000002,893.5833332999997,8.0,5.0,NY,4.0,5.0,4.0,1.0
2631940040.0,[1],6.0,0.769378518,1314.25,7.0,6.0,,4.0,5.0,5.0,2.0
2631940060.0,[1],6.0,0.126680034,566.4333333,4.0,2.0,,4.0,5.0,5.0,2.0
2631940063.0,[2],6.0,0.04432672,916.3083332999997,6.0,3.0,,4.0,5.0,5.0,2.0
2631940338.0,[1],6.0,-0.320651274,752.7166667,5.0,7.0,,4.0,4.0,5.0,2.0
2631940339.0,[2],6.0,0.17694946600000006,969.2916667000003,11.0,6.0,MA,4.0,8.0,8.0,1.0
2631940369.0,[2],,-0.128970345,1209.433333,,,,,,,1.0
2631940371.0,[2],,0.6690461129999999,1060.533333,5.0,4.0,,4.0,5.0,5.0,1.0
2631940409.0,[2],6.0,0.73852417,814.5916667,12.0,7.0,KY,4.0,8.0,8.0,1.0
2631940416.0,[1],6.0,0.50726105,657.925,7.0,5.0,,5.0,4.0,7.0,2.0
2631940456.0,[2],6.0,0.554565909,1322.116667,5.0,6.0,VA,4.0,9.0,8.0,1.0
2631940457.0,[1],6.0,0.384012587,800.675,7.0,3.0,,4.0,9.0,8.0,2.0
2631940458.0,[1],,1.2625799070000001,1114.3,9.0,5.0,,4.0,5.0,5.0,1.0
2631940469.0,[1],6.0,0.7962356190000001,1108.375,12.0,5.0,FL,4.0,4.0,5.0,2.0
2631940475.0,[2],5.0,-0.4411179320000001,2058.0083329999998,9.0,4.0,,2.0,5.0,5.0,1.0
2631940504.0,[2],6.0,0.563091205,1248.341667,7.0,6.0,,4.0,8.0,8.0,2.0
2631940575.0,[2],6.0,0.346090529,931.5666667000003,7.0,6.0,,5.0,8.0,8.0,1.0
2631940621.0,[1],5.0,-0.29097051399999996,920.3083332999997,7.0,7.0,LA,3.0,9.0,7.0,2.0
2631940681.0,[2],,0.172667177,956.4833332999999,,7.0,,3.0,10.0,3.0,1.0
2631940686.0,[1],,0.083732967,897.8916667000003,4.0,6.0,,4.0,5.0,5.0,2.0
2631940764.0,[2],6.0,0.7356698690000001,1225.608333,7.0,4.0,IN,4.0,5.0,5.0,2.0
2631940800.0,[2],8.0,0.16846208199999999,791.925,6.0,5.0,MI,4.0,5.0,5.0,2.0
2631940812.0,[1],6.0,0.623373154,1003.85,4.0,5.0,,4.0,7.0,7.0,1.0
2631940861.0,[1],6.0,0.765996518,826.3083333,12.0,4.0,NY,4.0,5.0,5.0,1.0
2631940893.0,[2],6.0,0.20673976600000002,932.3583332999999,9.0,4.0,NY,5.0,8.0,8.0,1.0
2631940942.0,[2],6.0,0.509414515,1224.658333,9.0,4.0,NY,5.0,8.0,8.0,2.0
2631940968.0,[1],8.0,0.778350955,1262.9,7.0,4.0,,6.0,3.0,7.0,2.0
2631940976.0,[2],2.0,0.521473017,837.025,10.0,7.0,CT,5.0,5.0,6.0,1.0
2631940984.0,[2],7.0,0.369904645,704.6833333,9.0,6.0,MI,4.0,5.0,4.0,2.0
2631941006.0,[1],3.0,0.424925296,2091.55,4.0,6.0,,4.0,5.0,5.0,1.0
2631941031.0,[1],6.0,0.174606552,873.125,8.0,3.0,KY,4.0,5.0,5.0,2.0
2631941032.0,[1],6.0,0.735223396,772.6916667,9.0,1.0,KY,4.0,4.0,5.0,2.0
2631941033.0,[1],6.0,0.053787975999999994,1244.833333,9.0,7.0,KY,4.0,5.0,5.0,2.0
2631941034.0,[1],6.0,0.7902124490000001,1096.983333,8.0,6.0,KY,5.0,5.0,6.0,1.0
2631941041.0,[1],6.0,0.004170982,1432.2,11.0,6.0,KY,4.0,10.0,10.0,1.0
2631941047.0,[1],5.0,-0.145489681,955.4583332999997,7.0,3.0,,2.0,9.0,6.0,1.0
2631941048.0,[1],5.0,0.44981171600000003,888.1833332999997,9.0,4.0,KY,4.0,9.0,5.0,1.0
2631941050.0,[1],7.0,0.42416343,1414.283333,9.0,,,4.0,10.0,9.0,2.0
2631941052.0,[2],6.0,0.580749786,1855.3083329999997,9.0,3.0,KY,5.0,7.0,9.0,2.0
2631941059.0,[2],8.0,0.990370855,757.35,13.0,6.0,KY,4.0,6.0,7.0,1.0
2631941079.0,[1],,0.416024858,1221.425,,5.0,,4.0,8.0,8.0,1.0
2631941096.0,[2],,1.037871479,923.525,3.0,7.0,CT,5.0,7.0,9.0,1.0
2631941098.0,[2],6.0,0.726879134,1262.808333,4.0,3.0,CT,4.0,9.0,9.0,2.0
